Order_ID,Customer_ID,Customer_Name,Gender,Product_Name,Product_Category,Clothing_Category,Quantity,Price_LKR,Total_Amount_LKR,Date,Email,Phone_Number
ORD00020,CUST0005,Kamal Ranasinghe,Male,Shirt,Men,Tops,2,2442,4884,5/24/25,kamal.ranasinghe0005@gmail.com,0757375311
ORD00021,CUST0005,Kamal Ranasinghe,Male,Shorts,Kids,Bottoms,2,1668,3336,1/20/22,kamal.ranasinghe0005@gmail.com,0757375311
ORD00022,CUST0006,Ayesha Perera,Female,Shorts,Kids,Bottoms,2,3286,6572,12/28/24,ayesha.perera0006@gmail.com,0709287213
ORD00023,CUST0006,Ayesha Perera,Female,Saree,Women,Dresses_and_Sarees,3,3550,10650,4/26/22,ayesha.perera0006@gmail.com,0709287213
ORD00024,CUST0006,Ayesha Perera,Female,Leggings,Women,Bottoms,1,721,721,8/8/22,ayesha.perera0006@gmail.com,0709287213
ORD00025,CUST0007,Tharindu Rajapakse,Female,Shorts,Kids,Bottoms,2,2279,4558,1/30/23,tharindu.rajapakse0007@gmail.com,0796610410
ORD00026,CUST0007,Tharindu Rajapakse,Female,Dress,Women,Dresses_and_Sarees,1,846,846,4/19/24,tharindu.rajapakse0007@gmail.com,0796610410
ORD00027,CUST0008,Saman Fernando,Male,Shorts,Men,Bottoms,2,2357,4714,3/28/23,saman.fernando0008@gmail.com,0715019934
ORD00028,CUST0008,Saman Fernando,Male,Shirt,Men,Tops,2,4806,9612,10/27/24,saman.fernando0008@gmail.com,0715019934
ORD00029,CUST0009,Piumi Bandara,Female,Dress,Kids,Dresses_and_Sarees,4,2512,10048,1/10/22,piumi.bandara0009@gmail.com,0780984408
ORD00030,CUST0010,Sanduni Jayasinghe,Female,T-shirt,Kids,Tops,5,4262,21310,11/29/24,sanduni.jayasinghe0010@gmail.com,0773776088
ORD00031,CUST0010,Sanduni Jayasinghe,Female,T-shirt,Kids,Tops,4,3088,12352,1/25/24,sanduni.jayasinghe0010@gmail.com,0773776088
ORD00032,CUST0010,Sanduni Jayasinghe,Female,Skirt,Women,Bottoms,4,4860,19440,2/25/23,sanduni.jayasinghe0010@gmail.com,0773776088
ORD00033,CUST0010,Sanduni Jayasinghe,Female,T-shirt,Kids,Tops,5,2788,13940,8/25/22,sanduni.jayasinghe0010@gmail.com,0773776088
ORD00034,CUST0010,Sanduni Jayasinghe,Female,T-shirt,Kids,Tops,3,3384,10152,2/11/25,sanduni.jayasinghe0010@gmail.com,0773776088
ORD00035,CUST0011,Lalith Fernando,Male,T-shirt,Men,Tops,5,3535,17675,12/1/24,lalith.fernando0011@gmail.com,0707466893
ORD00036,CUST0012,Tharindu Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,1,3605,3605,11/11/24,tharindu.gunawardena0012@gmail.com,0720174962
ORD00037,CUST0012,Tharindu Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,2,2820,5640,3/31/22,tharindu.gunawardena0012@gmail.com,0720174962
ORD00038,CUST0013,Nimal Gunawardena,Male,Dress,Kids,Dresses_and_Sarees,3,1672,5016,10/17/24,nimal.gunawardena0013@gmail.com,0797988473
ORD00039,CUST0013,Nimal Gunawardena,Male,Jacket,Men,Outerwear,4,2473,9892,5/14/24,nimal.gunawardena0013@gmail.com,0797988473
ORD00040,CUST0013,Nimal Gunawardena,Male,Shorts,Kids,Bottoms,4,703,2812,3/14/22,nimal.gunawardena0013@gmail.com,0797988473
ORD00041,CUST0013,Nimal Gunawardena,Male,Shirt,Men,Tops,1,4980,4980,12/3/22,nimal.gunawardena0013@gmail.com,0797988473
ORD00042,CUST0014,Kamal Fernando,Male,Shorts,Men,Bottoms,5,2742,13710,5/25/25,kamal.fernando0014@gmail.com,0733569557
ORD00043,CUST0014,Kamal Fernando,Male,T-shirt,Men,Tops,1,815,815,4/6/23,kamal.fernando0014@gmail.com,0733569557
ORD00044,CUST0014,Kamal Fernando,Male,T-shirt,Men,Tops,4,994,3976,2/22/24,kamal.fernando0014@gmail.com,0733569557
ORD00045,CUST0015,Nadeesha Bandara,Female,Leggings,Women,Bottoms,1,3391,3391,5/25/25,nadeesha.bandara0015@gmail.com,0796146498
ORD00046,CUST0015,Nadeesha Bandara,Female,Kurta,Women,Tops,3,1957,5871,5/27/22,nadeesha.bandara0015@gmail.com,0796146498
ORD00047,CUST0015,Nadeesha Bandara,Female,Kurta,Women,Tops,2,1327,2654,11/24/23,nadeesha.bandara0015@gmail.com,0796146498
ORD00048,CUST0015,Nadeesha Bandara,Female,Dress,Kids,Dresses_and_Sarees,2,1738,3476,10/16/22,nadeesha.bandara0015@gmail.com,0796146498
ORD00049,CUST0015,Nadeesha Bandara,Female,Leggings,Women,Bottoms,2,4031,8062,4/2/23,nadeesha.bandara0015@gmail.com,0796146498
ORD00050,CUST0015,Nadeesha Bandara,Female,Leggings,Women,Bottoms,4,1062,4248,4/1/25,nadeesha.bandara0015@gmail.com,0796146498
ORD00051,CUST0016,Tharindu Gunawardena,Female,Dress,Women,Dresses_and_Sarees,5,3114,15570,11/27/23,tharindu.gunawardena0016@gmail.com,0728020094
ORD00052,CUST0017,Piumi Silva,Female,Dress,Women,Dresses_and_Sarees,2,2756,5512,5/16/23,piumi.silva0017@gmail.com,0799625146
ORD00053,CUST0018,Sarath Jayasinghe,Male,Shorts,Men,Bottoms,4,2182,8728,3/25/22,sarath.jayasinghe0018@gmail.com,0726327683
ORD00054,CUST0018,Sarath Jayasinghe,Male,Jacket,Men,Outerwear,3,2137,6411,7/6/24,sarath.jayasinghe0018@gmail.com,0726327683
ORD00055,CUST0019,Nisha Bandara,Female,Saree,Women,Dresses_and_Sarees,2,1116,2232,12/13/23,nisha.bandara0019@gmail.com,0792347059
ORD00056,CUST0020,Nimal Bandara,Male,Shirt,Men,Tops,2,1173,2346,7/24/23,nimal.bandara0020@gmail.com,0779476194
ORD00057,CUST0021,Piumi Gunawardena,Female,Saree,Women,Dresses_and_Sarees,4,4139,16556,1/9/23,piumi.gunawardena0021@gmail.com,0770573148
ORD00058,CUST0021,Piumi Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,3,1370,4110,10/28/22,piumi.gunawardena0021@gmail.com,0770573148
ORD00059,CUST0022,Nisha Jayasinghe,Female,Skirt,Women,Bottoms,3,972,2916,9/23/24,nisha.jayasinghe0022@gmail.com,0747404901
ORD00060,CUST0024,Ranjith Ranasinghe,Male,Shorts,Kids,Bottoms,2,1421,2842,11/24/24,ranjith.ranasinghe0024@gmail.com,0787240662
ORD00061,CUST0025,Tharindu Gunawardena,Female,Saree,Women,Dresses_and_Sarees,1,4085,4085,3/25/25,tharindu.gunawardena0025@gmail.com,0778925222
ORD00062,CUST0025,Tharindu Gunawardena,Female,Skirt,Women,Bottoms,4,2366,9464,3/6/24,tharindu.gunawardena0025@gmail.com,0778925222
ORD00063,CUST0026,Piumi Perera,Female,Saree,Women,Dresses_and_Sarees,4,3729,14916,4/29/23,piumi.perera0026@gmail.com,0798149022
ORD00064,CUST0026,Piumi Perera,Female,Shorts,Kids,Bottoms,4,4679,18716,10/25/23,piumi.perera0026@gmail.com,0798149022
ORD00065,CUST0027,Sarath Ranasinghe,Male,Jacket,Men,Outerwear,3,3541,10623,3/12/24,sarath.ranasinghe0027@gmail.com,0716607440
ORD00066,CUST0027,Sarath Ranasinghe,Male,Jacket,Men,Outerwear,4,2184,8736,7/9/24,sarath.ranasinghe0027@gmail.com,0716607440
ORD00067,CUST0028,Lalith Ranasinghe,Male,T-shirt,Kids,Tops,2,656,1312,7/25/22,lalith.ranasinghe0028@gmail.com,0755030891
ORD00068,CUST0028,Lalith Ranasinghe,Male,Shorts,Men,Bottoms,2,934,1868,9/10/24,lalith.ranasinghe0028@gmail.com,0755030891
ORD00069,CUST0030,Ranjith Bandara,Male,Shirt,Men,Tops,3,4364,13092,9/23/22,ranjith.bandara0030@gmail.com,0751109359
ORD00070,CUST0031,Lakshmi Silva,Female,Skirt,Women,Bottoms,5,4411,22055,1/27/22,lakshmi.silva0031@gmail.com,0701429694
ORD00071,CUST0032,Ranjith Silva,Male,T-shirt,Kids,Tops,2,2168,4336,9/26/24,ranjith.silva0032@gmail.com,0791894138
ORD00072,CUST0032,Ranjith Silva,Male,Shorts,Kids,Bottoms,3,2827,8481,6/1/25,ranjith.silva0032@gmail.com,0791894138
ORD00073,CUST0033,Ranjith Gunawardena,Male,Shorts,Kids,Bottoms,2,4117,8234,5/29/25,ranjith.gunawardena0033@gmail.com,0775094920
ORD00074,CUST0033,Ranjith Gunawardena,Male,Shorts,Kids,Bottoms,1,1230,1230,6/12/23,ranjith.gunawardena0033@gmail.com,0775094920
ORD00075,CUST0033,Ranjith Gunawardena,Male,T-shirt,Kids,Tops,4,1373,5492,5/31/22,ranjith.gunawardena0033@gmail.com,0775094920
ORD00076,CUST0034,Dilani Perera,Female,Saree,Women,Dresses_and_Sarees,4,1850,7400,9/13/22,dilani.perera0034@gmail.com,0735247642
ORD00077,CUST0034,Dilani Perera,Female,Dress,Women,Dresses_and_Sarees,2,3112,6224,10/30/23,dilani.perera0034@gmail.com,0735247642
ORD00078,CUST0034,Dilani Perera,Female,Leggings,Women,Bottoms,4,4318,17272,7/24/25,dilani.perera0034@gmail.com,0735247642
ORD00079,CUST0034,Dilani Perera,Female,Dress,Women,Dresses_and_Sarees,5,2519,12595,1/16/24,dilani.perera0034@gmail.com,0735247642
ORD00080,CUST0034,Dilani Perera,Female,Dress,Kids,Dresses_and_Sarees,1,2523,2523,8/19/23,dilani.perera0034@gmail.com,0735247642
ORD00081,CUST0035,Nadeesha Perera,Female,Dress,Women,Dresses_and_Sarees,3,989,2967,12/8/23,nadeesha.perera0035@gmail.com,0720799493
ORD00082,CUST0036,Ayesha Gunawardena,Female,Shorts,Kids,Bottoms,1,2147,2147,6/25/24,ayesha.gunawardena0036@gmail.com,0707457272
ORD00083,CUST0036,Ayesha Gunawardena,Female,T-shirt,Kids,Tops,1,3728,3728,10/13/23,ayesha.gunawardena0036@gmail.com,0707457272
ORD00084,CUST0036,Ayesha Gunawardena,Female,Shorts,Kids,Bottoms,1,2599,2599,10/20/22,ayesha.gunawardena0036@gmail.com,0707457272
ORD00085,CUST0037,Amal Fernando,Male,Shorts,Kids,Bottoms,4,705,2820,1/31/23,amal.fernando0037@gmail.com,0745807952
ORD00086,CUST0037,Amal Fernando,Male,Shirt,Men,Tops,2,955,1910,3/22/25,amal.fernando0037@gmail.com,0745807952
ORD00087,CUST0037,Amal Fernando,Male,Dress,Kids,Dresses_and_Sarees,3,4716,14148,6/18/22,amal.fernando0037@gmail.com,0745807952
ORD00088,CUST0037,Amal Fernando,Male,Jeans,Men,,1,3979,3979,9/14/24,amal.fernando0037@gmail.com,0745807952
ORD00089,CUST0038,Piumi Silva,Female,Blouse,Women,,2,4143,8286,1/8/25,piumi.silva0038@gmail.com,0748142781
ORD00090,CUST0038,Piumi Silva,Female,T-shirt,Kids,Tops,1,1756,1756,5/31/24,piumi.silva0038@gmail.com,0748142781
ORD00091,CUST0038,Piumi Silva,Female,Leggings,Women,Bottoms,4,2218,8872,7/3/23,piumi.silva0038@gmail.com,0748142781
ORD00092,CUST0039,Dilani Rajapakse,Female,Kurta,Women,Tops,5,2000,10000,9/4/24,dilani.rajapakse0039@gmail.com,0707560609
ORD00093,CUST0039,Dilani Rajapakse,Female,Leggings,Women,Bottoms,1,3361,3361,2/13/23,dilani.rajapakse0039@gmail.com,0707560609
ORD00094,CUST0040,Nisha Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,5,2001,10005,11/12/23,nisha.gunawardena0040@gmail.com,0745964330
ORD00095,CUST0040,Nisha Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,4,4356,17424,7/4/24,nisha.gunawardena0040@gmail.com,0745964330
ORD00096,CUST0040,Nisha Gunawardena,Female,Skirt,Women,Bottoms,5,2984,14920,6/23/24,nisha.gunawardena0040@gmail.com,0745964330
ORD00097,CUST0041,Lakshmi Bandara,Female,Dress,Kids,Dresses_and_Sarees,5,1639,8195,7/23/23,lakshmi.bandara0041@gmail.com,0714717157
ORD00098,CUST0041,Lakshmi Bandara,Female,Dress,Kids,Dresses_and_Sarees,1,4156,4156,9/23/22,lakshmi.bandara0041@gmail.com,0714717157
ORD00099,CUST0042,Piumi Gunawardena,Female,Saree,Women,Dresses_and_Sarees,1,4263,4263,10/12/23,piumi.gunawardena0042@gmail.com,0727117700
ORD00100,CUST0042,Piumi Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,3,3061,9183,9/15/23,piumi.gunawardena0042@gmail.com,0727117700
ORD00101,CUST0042,Piumi Gunawardena,Female,Blouse,Women,,4,3493,13972,12/6/23,piumi.gunawardena0042@gmail.com,0727117700
ORD00102,CUST0042,Piumi Gunawardena,Female,Saree,Women,Dresses_and_Sarees,4,3946,15784,1/20/25,piumi.gunawardena0042@gmail.com,0727117700
ORD00103,CUST0043,Saman Perera,Male,Trousers,Men,Bottoms,4,4935,19740,7/5/24,saman.perera0043@gmail.com,0765386216
ORD00104,CUST0043,Saman Perera,Male,T-shirt,Men,Tops,2,4333,8666,5/25/25,saman.perera0043@gmail.com,0765386216
ORD00105,CUST0044,Kamal Perera,Male,Dress,Kids,Dresses_and_Sarees,5,1848,9240,4/24/25,kamal.perera0044@gmail.com,0743604545
ORD00106,CUST0044,Kamal Perera,Male,Jeans,Men,,4,3593,14372,9/12/24,kamal.perera0044@gmail.com,0743604545
ORD00107,CUST0044,Kamal Perera,Male,T-shirt,Men,Tops,5,1397,6985,9/24/23,kamal.perera0044@gmail.com,0743604545
ORD00108,CUST0044,Kamal Perera,Male,Jacket,Men,Outerwear,3,3069,9207,11/3/23,kamal.perera0044@gmail.com,0743604545
ORD00109,CUST0044,Kamal Perera,Male,Jacket,Men,Outerwear,5,1854,9270,5/2/23,kamal.perera0044@gmail.com,0743604545
ORD00110,CUST0045,Kamal Fernando,Male,Trousers,Men,Bottoms,3,1162,3486,9/29/23,kamal.fernando0045@gmail.com,0776459033
ORD00111,CUST0045,Kamal Fernando,Male,Dress,Kids,Dresses_and_Sarees,5,914,4570,8/18/22,kamal.fernando0045@gmail.com,0776459033
ORD00112,CUST0045,Kamal Fernando,Male,Dress,Kids,Dresses_and_Sarees,2,3503,7006,1/7/23,kamal.fernando0045@gmail.com,0776459033
ORD00113,CUST0047,Nisha Silva,Female,Dress,Women,Dresses_and_Sarees,1,3494,3494,5/13/22,nisha.silva0047@gmail.com,0709555469
ORD00114,CUST0047,Nisha Silva,Female,T-shirt,Kids,Tops,4,1452,5808,10/28/22,nisha.silva0047@gmail.com,0709555469
ORD00115,CUST0047,Nisha Silva,Female,Kurta,Women,Tops,2,3977,7954,9/5/22,nisha.silva0047@gmail.com,0709555469
ORD00116,CUST0047,Nisha Silva,Female,T-shirt,Kids,Tops,2,2185,4370,3/15/22,nisha.silva0047@gmail.com,0709555469
ORD00117,CUST0048,Nisha Jayasinghe,Female,Shorts,Kids,Bottoms,3,1154,3462,3/1/25,nisha.jayasinghe0048@gmail.com,0741876145
ORD00118,CUST0050,Tharindu Ranasinghe,Female,Dress,Kids,Dresses_and_Sarees,1,1037,1037,12/6/24,tharindu.ranasinghe0050@gmail.com,0714130531
ORD00119,CUST0051,Sanduni Fernando,Female,Skirt,Women,Bottoms,5,3465,17325,3/1/22,sanduni.fernando0051@gmail.com,0718467944
ORD00120,CUST0051,Sanduni Fernando,Female,Blouse,Women,,5,1340,6700,8/21/24,sanduni.fernando0051@gmail.com,0718467944
ORD00121,CUST0051,Sanduni Fernando,Female,Shorts,Kids,Bottoms,4,1634,6536,4/18/24,sanduni.fernando0051@gmail.com,0718467944
ORD00122,CUST0053,Kamal Jayasinghe,Male,T-shirt,Men,Tops,1,1279,1279,5/16/22,kamal.jayasinghe0053@gmail.com,0768009119
ORD00123,CUST0053,Kamal Jayasinghe,Male,Dress,Kids,Dresses_and_Sarees,5,3533,17665,10/24/24,kamal.jayasinghe0053@gmail.com,0768009119
ORD00124,CUST0054,Dilani Rajapakse,Female,T-shirt,Kids,Tops,1,3121,3121,12/13/23,dilani.rajapakse0054@gmail.com,0726509276
ORD00125,CUST0054,Dilani Rajapakse,Female,Dress,Kids,Dresses_and_Sarees,3,2212,6636,5/13/22,dilani.rajapakse0054@gmail.com,0726509276
ORD00126,CUST0054,Dilani Rajapakse,Female,Shorts,Kids,Bottoms,5,1345,6725,8/27/24,dilani.rajapakse0054@gmail.com,0726509276
ORD00127,CUST0054,Dilani Rajapakse,Female,Dress,Women,Dresses_and_Sarees,3,3147,9441,2/1/24,dilani.rajapakse0054@gmail.com,0726509276
ORD00128,CUST0054,Dilani Rajapakse,Female,Skirt,Women,Bottoms,5,3976,19880,10/25/22,dilani.rajapakse0054@gmail.com,0726509276
ORD00129,CUST0054,Dilani Rajapakse,Female,Dress,Women,Dresses_and_Sarees,2,2407,4814,10/13/24,dilani.rajapakse0054@gmail.com,0726509276
ORD00130,CUST0056,Nimal Perera,Male,Shorts,Kids,Bottoms,4,1720,6880,4/6/22,nimal.perera0056@gmail.com,0784652723
ORD00131,CUST0056,Nimal Perera,Male,Shorts,Kids,Bottoms,3,2777,8331,5/1/25,nimal.perera0056@gmail.com,0784652723
ORD00132,CUST0056,Nimal Perera,Male,T-shirt,Men,Tops,4,3664,14656,9/23/22,nimal.perera0056@gmail.com,0784652723
ORD00133,CUST0056,Nimal Perera,Male,Shorts,Kids,Bottoms,1,4554,4554,4/1/25,nimal.perera0056@gmail.com,0784652723
ORD00134,CUST0057,Sarath Ranasinghe,Male,Shorts,Kids,Bottoms,2,632,1264,6/22/24,sarath.ranasinghe0057@gmail.com,0747766661
ORD00135,CUST0057,Sarath Ranasinghe,Male,Trousers,Men,Bottoms,1,2731,2731,7/8/25,sarath.ranasinghe0057@gmail.com,0747766661
ORD00136,CUST0057,Sarath Ranasinghe,Male,Shirt,Men,Tops,4,2157,8628,10/23/23,sarath.ranasinghe0057@gmail.com,0747766661
ORD00137,CUST0057,Sarath Ranasinghe,Male,Trousers,Men,Bottoms,5,3781,18905,11/27/22,sarath.ranasinghe0057@gmail.com,0747766661
ORD00138,CUST0057,Sarath Ranasinghe,Male,Dress,Kids,Dresses_and_Sarees,5,3476,17380,7/12/23,sarath.ranasinghe0057@gmail.com,0747766661
ORD00139,CUST0058,Nisha Ranasinghe,Female,Shorts,Kids,Bottoms,5,3691,18455,4/2/25,nisha.ranasinghe0058@gmail.com,0786943220
ORD00140,CUST0058,Nisha Ranasinghe,Female,Dress,Kids,Dresses_and_Sarees,2,4423,8846,12/14/23,nisha.ranasinghe0058@gmail.com,0786943220
ORD00141,CUST0058,Nisha Ranasinghe,Female,Saree,Women,Dresses_and_Sarees,2,1368,2736,5/19/23,nisha.ranasinghe0058@gmail.com,0786943220
ORD00142,CUST0058,Nisha Ranasinghe,Female,Skirt,Women,Bottoms,5,897,4485,11/8/24,nisha.ranasinghe0058@gmail.com,0786943220
ORD00143,CUST0059,Lalith Perera,Male,Jacket,Men,Outerwear,5,1528,7640,11/12/24,lalith.perera0059@gmail.com,0707498302
ORD00144,CUST0059,Lalith Perera,Male,T-shirt,Men,Tops,5,4409,22045,10/15/22,lalith.perera0059@gmail.com,0707498302
ORD00145,CUST0059,Lalith Perera,Male,Jacket,Men,Outerwear,3,956,2868,8/3/23,lalith.perera0059@gmail.com,0707498302
ORD00146,CUST0060,Nadeesha Rajapakse,Female,Dress,Kids,Dresses_and_Sarees,4,3022,12088,12/16/24,nadeesha.rajapakse0060@gmail.com,0723533620
ORD00147,CUST0060,Nadeesha Rajapakse,Female,Shorts,Kids,Bottoms,5,4326,21630,3/4/24,nadeesha.rajapakse0060@gmail.com,0723533620
ORD00148,CUST0061,Dilani Gunawardena,Female,Dress,Kids,Dresses_and_Sarees,1,1385,1385,7/6/23,dilani.gunawardena0061@gmail.com,0729579972
ORD00149,CUST0061,Dilani Gunawardena,Female,Saree,Women,Dresses_and_Sarees,4,547,2188,8/6/22,dilani.gunawardena0061@gmail.com,0729579972
ORD00150,CUST0061,Dilani Gunawardena,Female,Skirt,Women,Bottoms,3,2767,8301,1/29/24,dilani.gunawardena0061@gmail.com,0729579972
ORD00151,CUST0061,Dilani Gunawardena,Female,Shorts,Kids,Bottoms,4,4151,16604,7/13/24,dilani.gunawardena0061@gmail.com,0729579972
ORD00152,CUST0061,Dilani Gunawardena,Female,Leggings,Women,Bottoms,5,1880,9400,1/10/22,dilani.gunawardena0061@gmail.com,0729579972
ORD00153,CUST0061,Dilani Gunawardena,Female,T-shirt,Kids,Tops,4,3278,13112,2/20/23,dilani.gunawardena0061@gmail.com,0729579972
ORD00154,CUST0062,Nimal Perera,Male,T-shirt,Men,Tops,3,1019,3057,11/3/23,nimal.perera0062@gmail.com,0712633474
ORD00155,CUST0062,Nimal Perera,Male,Dress,Kids,Dresses_and_Sarees,3,2629,7887,1/21/23,nimal.perera0062@gmail.com,0712633474
ORD00156,CUST0063,Sanduni Perera,Female,Dress,Kids,Dresses_and_Sarees,4,3627,14508,4/4/24,sanduni.perera0063@gmail.com,0798155143
ORD00157,CUST0064,Dilani Perera,Female,T-shirt,Kids,Tops,3,3256,9768,8/12/23,dilani.perera0064@gmail.com,0778544201
ORD00158,CUST0064,Dilani Perera,Female,Blouse,Women,,3,1159,3477,4/13/24,dilani.perera0064@gmail.com,0778544201
ORD00159,CUST0065,Sarath Fernando,Male,Shorts,Kids,Bottoms,5,3264,16320,6/10/25,sarath.fernando0065@gmail.com,0788712068
ORD00160,CUST0065,Sarath Fernando,Male,Shorts,Kids,Bottoms,4,2492,9968,9/19/23,sarath.fernando0065@gmail.com,0788712068
ORD00161,CUST0065,Sarath Fernando,Male,Shorts,Kids,Bottoms,1,3095,3095,4/4/23,sarath.fernando0065@gmail.com,0788712068
ORD00162,CUST0065,Sarath Fernando,Male,Shorts,Kids,Bottoms,4,2556,10224,4/4/24,sarath.fernando0065@gmail.com,0788712068
ORD00163,CUST0066,Kamal Ranasinghe,Male,Dress,Kids,Dresses_and_Sarees,1,960,960,5/15/23,kamal.ranasinghe0066@gmail.com,0747681921
ORD00164,CUST0068,Ayesha Gunawardena,Female,Shorts,Kids,Bottoms,5,1804,9020,6/21/25,ayesha.gunawardena0068@gmail.com,0778310267
ORD00165,CUST0069,Nisha Rajapakse,Female,Kurta,Women,Tops,5,1053,5265,7/7/23,nisha.rajapakse0069@gmail.com,0736488800
ORD00166,CUST0070,Ranjith Jayasinghe,Male,Shirt,Men,Tops,2,4869,9738,6/8/23,ranjith.jayasinghe0070@gmail.com,0773480969
ORD00167,CUST0070,Ranjith Jayasinghe,Male,T-shirt,Men,Tops,1,3616,3616,5/21/24,ranjith.jayasinghe0070@gmail.com,0773480969
ORD00168,CUST0070,Ranjith Jayasinghe,Male,Shorts,Men,Bottoms,2,2417,4834,3/27/23,ranjith.jayasinghe0070@gmail.com,0773480969
ORD00169,CUST0070,Ranjith Jayasinghe,Male,Jacket,Men,Outerwear,4,585,2340,7/14/22,ranjith.jayasinghe0070@gmail.com,0773480969
ORD00170,CUST0070,Ranjith Jayasinghe,Male,Dress,Kids,Dresses_and_Sarees,2,1177,2354,5/9/24,ranjith.jayasinghe0070@gmail.com,0773480969
ORD00171,CUST0071,Nimal Jayasinghe,Male,Shorts,Kids,Bottoms,1,2294,2294,9/28/23,nimal.jayasinghe0071@gmail.com,0725224558
ORD00172,CUST0071,Nimal Jayasinghe,Male,T-shirt,Men,Tops,2,3640,7280,5/29/24,nimal.jayasinghe0071@gmail.com,0725224558
ORD00173,CUST0071,Nimal Jayasinghe,Male,T-shirt,Kids,Tops,5,3501,17505,9/26/23,nimal.jayasinghe0071@gmail.com,0725224558
ORD00174,CUST0072,Amal Gunawardena,Male,Dress,Kids,Dresses_and_Sarees,4,4524,18096,9/28/22,amal.gunawardena0072@gmail.com,0703062720
ORD00175,CUST0072,Amal Gunawardena,Male,T-shirt,Men,Tops,2,4924,9848,2/7/25,amal.gunawardena0072@gmail.com,0703062720
ORD00176,CUST0073,Dilani Bandara,Female,Skirt,Women,Bottoms,2,3886,7772,7/19/25,dilani.bandara0073@gmail.com,0784582076
ORD00177,CUST0073,Dilani Bandara,Female,T-shirt,Kids,Tops,3,817,2451,9/12/22,dilani.bandara0073@gmail.com,0784582076
ORD00178,CUST0073,Dilani Bandara,Female,Dress,Women,Dresses_and_Sarees,5,1907,9535,5/23/23,dilani.bandara0073@gmail.com,0784582076
ORD00179,CUST0074,Saman Rajapakse,Male,Jeans,Men,,3,4919,14757,3/25/23,saman.rajapakse0074@gmail.com,0713492016
ORD00180,CUST0074,Saman Rajapakse,Male,Shorts,Kids,Bottoms,2,727,1454,6/28/22,saman.rajapakse0074@gmail.com,0713492016
